Repetition,Max_CPU_Usage_us,Second_Max_CPU_Usage_us
1,1.6,1.6
1,0.2,1.6
2,0.2,1.6
2,0.2,1.6
3,0.2,1.6
3,1.6,1.6
4,1.6,1.6
4,0.2,0.5
5,1.6,1.6
5,0.2,1.6
6,1.6,0.5
6,0.2,1.6
7,1.6,1.6
7,0.2,0.5
8,1.6,1.6
8,0.2,1.6
9,0.2,3.2
9,0.2,3.2
10,1.6,1.6
10,0.2,3.2
11,1.6,1.6
11,0.2,1.6
12,1.6,1.6
12,0.2,1.6
13,1.6,3.2
13,0.2,3.2
14,1.6,3.2
14,0.2,3.2
15,1.6,1.6
15,0.2,1.6
16,1.6,3.2
16,0.2,3.2
17,1.6,1.6
17,0.2,1.6
18,1.6,1.6
18,0.2,1.6
19,1.6,1.6
19,0.2,1.6
20,0.2,1.6
20,0.2,1.6
21,0.2,4.8
21,0.2,1.6
22,1.6,0.2
22,1.6,1.6
23,0.2,3.2
23,1.6,1.6
24,0.2,1.6
24,0.0,1.6
25,0.2,3.2
25,0.2,3.2
26,1.6,1.6
26,0.2,0.5
27,1.6,0.5
27,0.2,1.6
28,0.2,0.5
28,0.2,1.6
29,1.6,3.2
29,0.2,1.6
30,1.6,1.6
30,0.2,1.6
1,0.2,1.6
1,0.2,1.6
2,1.6,3.1
2,0.2,17.7
3,1.6,3.1
3,0.2,27.0
4,1.6,3.1
4,0.2,1.6
5,1.6,4.8
5,0.2,34.9
6,0.2,3.2
6,0.2,25.4
7,1.6,4.7
7,0.2,1.6
8,1.6,4.7
8,0.2,0.5
9,1.6,3.2
9,0.0,38.1
10,0.2,3.2
10,0.2,28.1
11,1.6,5.0
11,0.2,3.2
12,0.2,5.0
12,1.6,1.6
13,1.6,4.8
13,0.2,47.6
14,0.2,3.3
14,0.0,27.4
15,1.6,4.5
15,0.2,1.6
16,1.6,5.0
16,0.2,0.7
17,0.2,4.8
17,0.2,45.2
18,1.6,3.2
18,1.6,24.2
19,1.6,5.0
19,0.2,3.2
20,1.6,6.0
20,0.0,1.6
21,0.2,3.2
21,0.2,47.6
22,1.6,1.7
22,0.2,30.6
23,1.6,4.7
23,0.2,1.6
24,0.2,5.0
24,0.2,1.6
25,1.6,1.6
25,0.2,57.1
26,1.6,3.3
26,0.0,38.7
27,0.2,6.7
27,0.2,1.6
28,1.6,6.7
28,1.6,3.2
29,1.6,1.7
29,0.2,12.9
30,0.2,1.7
30,0.2,0.2
